"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","790","840","880","920","970","1150","1200","1250","1300","1370","1450","1510","1590","1690","1830","2010","2200","2380","2490","2640","2830","3190","3400","3590","3790","4070","4340","4760","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6900","6430","6750","6850","7140","7510","6560","5510","6020","5690","6220","6920","7890","8480","9230","10240","11030","11870","13720","13890","14630","15180","15990","16200","17380","17820","19760","21460","22650","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28280","31310","32190","34700","34260","36690","38110","37590","39050","39240","41140","40590","39640","40950","42250","44230","45240","46880","46130","41630","42550","41180","48670","49190","48540","42760","41860","44980","44700","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11910","11550","11510","11420","11820","14660","16610","22890","23850","25950","27240","27950","28770","28530","29070","30340","31350","32030","31830","29960","30110","30590","31890","31750","31250","32390","32920","34260","34370","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","680","860","1790","2510","3750","4010","5040","5200","5530","5720","6500","6750","7630","8430","9360","9390","9510","10060","10380","11160","11530","12100","13090","13790","14920","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4930","4650","4170","3840","4040","4580","5040","5330","5780","6220","6690","7370","8490","9630","10970","12220","13780","13830","15050","16170","17350","18420","18360","19260","19280","17580","18650","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3190","3610","4030","4300","4260","4300","4280","4370","4360","4600","5090","5220","5440","5790","5930","6160","6460","6390","6570","6890","6790","7170","6700","6680","6550","6840","6740","6510","6650","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29770","29780","30440","31930","32580","34470","","","","","","","","","","","","84100","83750","76640","77120","76250","74070","75630","","","","","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","2410","2490","2600","2730","2860","2990","3140","3280","3270","3350","3410","3490","3540","3690","3930","4180","4400","4710","4790","4940","5200","5570","6210","6690","6890","7360","8190","8640","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6520","6760","6780","7110","7420","7970","8060","8310","8200","8160","8800","8960","9250","9420","10140","10670","11350","12280","12990","12980","13860","14650","14670","15370","15430","14470","13950","14250","14530","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9380","9310","8990","9200","9530","9840","10340","11030","11520","11620","12330","12200","12420","12840","13430","14170","14950","16070","16260","15730","15750","15270","14900","14490","14250","14410","14260","14150","14140","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55910","57950","60350","60250","61770","64190","65590","64190","63100","64530","66440","68350","70720","72760","73810","75210","79770","81430","80340","78680","79690","81680","86130","82860","81290","65690","60420","64620","62820","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1410","1460","1550","1720","1770","1900","2060","2010","2090","2690","2920","3180","3400","3640","4000","4390","5230","5450","5730","6310","6830","7280","7430","8050","8820","9560","10170","10580","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5520","6220","6440","6830","6240","6970","7000","7720","8090","8190","8250","8610","8150","8860","9060","9830","10850","11920","12630","12080","12780","14460","13910","14360","15950","15310","16600","16680","17460","",
